County,Foreign_Born,Home_Ownership,Bachelor's_Degree
"Johnson County, AR",9.261330762,70.38084655,15.03916449
"Lafayette County, AR",3.170304285,76.95327837,10.6114311
"Lawrence County, AR",1.168655431,67.21182576,12.94977169
"Lee County, AR",1.511654743,61.91028616,7.70224447
"Lincoln County, AR",2.327904118,78.59680284,8.134305986
"Little River County, AR",0.7401862941,83.88255175,15.92394534
"Logan County, AR",1.491975338,74.11064842,14.3430753
"Lonoke County, AR",2.655736822,72.42767022,19.92925476
"Madison County, AR",1.858158571,79.792,12.3133688
"Marion County, AR",2.159124519,82.15686275,15.23106796
"Miller County, AR",1.703294129,66.29893463,15.60114669
"Mississippi County, AR",1.952379773,60.15994668,14.80097606
"Monroe County, AR",0.3241491086,63.5527247,14.1898973
"Montgomery County, AR",2.44301578,80.44023405,16.39090769
"Nevada County, AR",0.1085383502,66.67723526,10.94219551
"Newton County, AR",0.9250310645,74.767642,14.78227655
"Ouachita County, AR",0.4202424135,73.75576309,14.95398286
"Perry County, AR",0.9845847837,75.81613998,15.19854586
"Phillips County, AR",1.087155683,53.68932039,15.23898782
"Pike County, AR",3.958843704,75.44297479,18.50553764
"Poinsett County, AR",1.043614384,63.62034794,11.54486113
"Polk County, AR",3.611225753,79.88855773,16.26960639
"Pope County, AR",5.616384403,72.01486235,23.88099705
"Prairie County, AR",0.194718267,77.30838865,15.98264932
"Pulaski County, AR",5.056461857,58.14815698,37.0413441
"Randolph County, AR",3.947580429,73.44923505,15.54756507
"St. Francis County, AR",3.198202092,54.24586522,13.27069516
"Saline County, AR",3.219666419,78.22346023,28.45754865
"Scott County, AR",3.221558099,74.26300948,12.04226371
"Searcy County, AR",0.6345177665,73.30393487,14.94593652
"Sebastian County, AR",8.632122574,60.09795226,23.92137226
"Sevier County, AR",15.38364859,65.00090204,11.66700632
"Sharp County, AR",1.509585581,80.23474859,11.51375783
"Stone County, AR",0.5971112725,72.31029381,14.43832599
"Union County, AR",2.748937267,72.74431058,18.47280414
"Van Buren County, AR",1.503144654,79.10141958,16.7558841
"Washington County, AR",11.4037464,54.5728879,34.46485729
"White County, AR",2.267953007,66.36445741,20.48364435
"Woodruff County, AR",0.3994248282,69.07844631,16.50330522
"Yell County, AR",10.40212368,68.52019094,13.80529696
"Alameda County, CA",33.27132754,54.18935574,50.93735761
"Alpine County, CA",3.366336634,82.75862069,39.60674157
"Amador County, CA",5.769278163,79.00920927,20.5636187
"Butte County, CA",7.554130287,58.11879643,30.83332134
"Calaveras County, CA",5.208652625,82.06768229,21.39670168
"Colusa County, CA",28.62775664,63.05166846,14.28571429
"Contra Costa County, CA",25.4123346,67.16356168,44.49742419
"Del Norte County, CA",7.595950768,68.12172088,17.71553477
"El Dorado County, CA",9.320703343,76.12049475,37.9525859
"Fresno County, CA",19.91192923,54.17627434,23.38386783
"Glenn County, CA",15.06438218,60.62410183,14.86874154
"Humboldt County, CA",6.183704052,56.82172676,31.08362176
"Imperial County, CA",30.54884229,57.67693093,15.91637099
"Inyo County, CA",7.148547453,65.97018729,28.95363092
"Kern County, CA",19.69559469,59.63012479,18.32003817
"Kings County, CA",18.4578566,54.8791118,14.72487485
"Lake County, CA",9.673056568,69.54354967,18.21227909
"Lassen County, CA",5.465440969,68.69467787,12.09568733
"Los Angeles County, CA",33.32952925,46.15287178,34.58292388
"Madera County, CA",20.32395719,65.48327519,17.15079004
"Marin County, CA",18.5922414,64.06772797,61.12807663
"Mariposa County, CA",7.898423818,73.76596025,28.92827762
"Mendocino County, CA",11.24801141,60.89648986,23.98753894
"Merced County, CA",26.27121046,53.35427743,14.64484312
"Modoc County, CA",6.103340654,75.13958272,23.82122562
"Mono County, CA",18.82895832,68.39027955,31.70959701
"Monterey County, CA",28.92125162,52.19320013,27.06606991
"Napa County, CA",22.19981948,65.1712788,37.8389934
"Nevada County, CA",6.370086589,74.85210672,38.80921944
"Orange County, CA",29.51770062,56.54758667,42.76415506
"Placer County, CA",12.01058513,73.81618886,42.4411411
"Plumas County, CA",3.852417303,74.3213228,21.18009976
"Riverside County, CA",21.64959105,68.51165904,24.05558344
"Sacramento County, CA",21.24421626,58.28864107,32.62334576
"San Benito County, CA",19.3550878,65.92282893,21.99763593
"San Bernardino County, CA",21.1340374,61.08317877,22.42173132
"San Diego County, CA",22.58427134,54.24123945,41.04681036
"San Francisco County, CA",33.86096475,38.5534389,59.78954733
"San Joaquin County, CA",23.94614116,59.97354932,20.30697005
"San Luis Obispo County, CA",9.485218947,62.00889925,37.97189846
"San Mateo County, CA",35.15929732,59.53624921,52.87878981
"Santa Barbara County, CA",22.19634198,52.80479896,35.67693808
"Santa Clara County, CA",40.36391315,55.59312495,55.32795837
"Santa Cruz County, CA",17.39688946,59.95833636,42.48019937
"Shasta County, CA",5.175637331,65.05266711,22.75474655
"Sierra County, CA",2.606310014,82.81938326,23.87727879
"Siskiyou County, CA",6.020568004,67.9028133,21.99850626
"Solano County, CA",19.64833313,63.03238336,28.19965079
"Sonoma County, CA",16.29159194,61.64996072,37.84658913
"Stanislaus County, CA",20.20530266,60.51824498,18.21777379
"Sutter County, CA",21.7444829,59.56236191,20.62290339
"Tehama County, CA",9.831409199,67.09174349,18.17009736
"Trinity County, CA",7.369878532,70.81889477,19.1826655
"Tulare County, CA",22.06333985,58.34790645,15.61704597
"Tuolumne County, CA",4.971541833,74.42074373,24.43794857
"Ventura County, CA",21.43741931,64.05698469,34.71285162
"Yolo County, CA",21.99906973,52.1791688,43.27091368
"Yuba County, CA",12.51698182,61.40675445,17.35852713
"Adams County, CO",15.1464292,68.33249637,27.15323857
"Alamosa County, CO",4.684082625,57.20908669,28.21454063
"Arapahoe County, CO",15.58309,64.92895342,44.92169187
"Archuleta County, CO",3.708638685,75.79295922,39.43553806
"Baca County, CO",3.575514874,73.7074401,24.36102236
"Bent County, CO",3.650422586,61.61504425,15.4982415
"Boulder County, CO",9.733522385,62.27303396,63.23035887
"Broomfield County, CO",10.65912964,63.93714912,58.38161378
"Chaffee County, CO",3.445103251,69.58967571,41.42488717
"Cheyenne County, CO",8.227114716,78.91891892,23.42857143
"Clear Creek County, CO",4.456024673,80.01743299,55.03074709
"Conejos County, CO",2.674434,78.97635245,24.64845319
"Costilla County, CO",5.942275042,76.2745098,23.65303783
"Crowley County, CO",1.643030093,71.17870722,12.74158912
"Custer County, CO",3.889457523,86.97845025,36.46686031
"Delta County, CO",4.173483463,76.06621544,24.49888641
"Denver County, CO",13.93261114,49.38104557,54.24859125
"Dolores County, CO",1.288106483,86.07594937,26.32406922
"Douglas County, CO",7.944342959,77.99365012,60.00460691
"Eagle County, CO",16.16531896,68.58195579,51.80593396
"Elbert County, CO",2.823449371,93.34664705,35.61744614
"El Paso County, CO",6.772345935,66.25369521,40.18071937
"Fremont County, CO",2.048587778,75.38609493,20.22288808
"Garfield County, CO",14.25190085,69.91067441,33.69412562
"Gilpin County, CO",6.010928962,78.61899755,43.8814942
"Grand County, CO",3.001780717,72.6995832,37.82370518
"Gunnison County, CO",3.596192267,63.12669158,59.34280639
"Hinsdale County, CO",0.5488474204,77.82426778,44.59974587
"Huerfano County, CO",1.740139211,77.54605492,26.07516466
"Jackson County, CO",0.4166666667,76.89922481,27.50929368
"Jefferson County, CO",6.156732166,70.57792023,49.1293793
"Kiowa County, CO",3.118040089,73.86569873,17.95698925
"Kit Carson County, CO",7.628924563,67.27089627,18.04918716
"Lake County, CO",10.54977712,77.40571026,39.23426839
"La Plata County, CO",2.43824018,70.67119122,46.96328208
"Larimer County, CO",5.680050534,64.53097393,50.88695041
"Las Animas County, CO",3.640271807,70.69823556,16.54873101
"Lincoln County, CO",2.453877843,71.17585848,22.74565786
"Logan County, CO",3.699183175,71.54664997,19.71812259
"Mesa County, CO",3.900570675,71.82002599,30.03243046
"Mineral County, CO",0.6297229219,73.68421053,57.66423358
"Moffat County, CO",5.471584039,66.84017737,20.54186098
"Montezuma County, CO",3.344840813,73.53612167,30.06403415
"Montrose County, CO",7.253111646,76.05328013,27.71667258
"Morgan County, CO",12.79394044,64.5879323,17.73211165
"Otero County, CO",4.122712594,69.55491177,18.32133534
"Ouray County, CO",3.200972447,76.55030801,49.55688623
"Park County, CO",1.738932773,89.26899063,35.48660085
"Phillips County, CO",13.75472958,74.94318182,26.26432906
"Pitkin County, CO",10.65512266,65.09736258,63.1083784
"Prowers County, CO",9.007352941,71.00066563,18.24207875
"Pueblo County, CO",3.675617807,66.86689522,24.06816496
"Rio Blanco County, CO",3.762862847,78.63111819,23.80842735
"Rio Grande County, CO",3.932878867,72.49302126,31.27780524
"Routt County, CO",5.339961514,76.49576807,50.04268488
"Saguache County, CO",5.825844438,72.77759687,24.38277902
"San Juan County, CO",11.5942029,54.89614243,41.66666667
"San Miguel County, CO",8.450878495,61.06493506,62.16173193
"Sedgwick County, CO",4.3496445,68.3508103,26.48428405
"Summit County, CO",7.714424164,69.78723404,52.25779626
"Teller County, CO",2.916229098,80.02717391,37.96315463
"Washington County, CO",2.92713307,70.24630542,24.48071217
"Weld County, CO",9.097162303,75.15925772,30.6563248
"Yuma County, CO",14.23827732,70.80698204,24.43744374
"Capitol Planning Region, CT",14.712459,65.22872909,41.10339047
"Greater Bridgeport Planning Region, CT",20.96476204,66.34722589,41.7238422
"Lower Connecticut River Valley Planning Region, CT",7.975736687,75.14914345,45.26674938
"Naugatuck Valley Planning Region, CT",13.38608989,66.98676093,33.26980305
"Northeastern Connecticut Planning Region, CT",4.673571123,74.39207757,25.03192107
"Northwest Hills Planning Region, CT",9.520302406,74.46058813,37.93103448
"South Central Connecticut Planning Region, CT",12.98779271,61.00577483,40.39796671
"Southeastern Connecticut Planning Region, CT",8.233883829,66.1295141,33.81254583
"Western Connecticut Planning Region, CT",23.17317204,66.11686413,54.23530618
"Kent County, DE",6.604714912,70.37770177,26.28184772
"New Castle County, DE",11.77933529,68.15779565,38.27420256
"Sussex County, DE",7.465471105,81.44064572,31.6998847
"District of Columbia, DC",13.43539317,41.44117042,62.63609275
"Alachua County, FL",10.80295572,54.53741816,46.68422482
"Baker County, FL",1.784118131,79.80897379,14.12864503
"Bay County, FL",7.296125487,68.57173465,26.63256396
"Bradford County, FL",2.559677883,68.02691078,13.16690655
"Brevard County, FL",9.179284225,76.66855869,32.8938647
"Broward County, FL",35.42936369,62.82317551,34.94202757
"Calhoun County, FL",3.344724787,76.57374101,11.06908222
"Charlotte County, FL",9.772511848,82.42137213,25.13187259
"Citrus County, FL",5.413312883,85.35921008,19.68541468
"Clay County, FL",6.588208514,76.58335843,27.58234519
"Collier County, FL",24.86448671,74.86349255,38.73495297
"Columbia County, FL",3.790525833,71.42586488,16.04100491
"DeSoto County, FL",12.9283671,71.18314425,11.58980098
"Dixie County, FL",3.053115851,83.01427644,7.979870597
"Duval County, FL",11.77835269,57.57676734,32.2417889
"Escambia County, FL",5.316904039,63.13647392,28.07031211
"Flagler County, FL",12.4443688,79.24456876,28.37073085
"Franklin County, FL",3.730856957,80.65532451,20.95012366
"Gadsden County, FL",4.711287889,73.83065785,19.6682697
"Gilchrist County, FL",4.504703929,82.71245634,14.63357891
"Glades County, FL",10.85474998,78.43433254,12.97941269
"Gulf County, FL",3.439541394,78.57648725,21.4014992
"Hamilton County, FL",4.99555292,75.18604651,9.239566613
"Hardee County, FL",11.23472266,66.60514335,10.36125686
"Hendry County, FL",27.7254273,69.74941681,10.48355597
"Hernando County, FL",7.676189217,80.14626937,20.00298775
"Highlands County, FL",10.9596537,78.38424527,18.28330847
"Hillsborough County, FL",18.74073923,60.45556012,36.24510488
"Holmes County, FL",1.735879973,76.51718772,11.00956429
"Indian River County, FL",10.23318798,80.17646611,32.7256269
"Jackson County, FL",2.31846386,74.04028436,13.87789063
"Jefferson County, FL",3.084797344,74.94111252,19.5363015
"Lafayette County, FL",7.228321204,80.50880626,8.083219645
"Lake County, FL",10.42062513,76.40377852,25.67755374
"Lee County, FL",17.57467312,73.27556304,30.12282822
"Leon County, FL",6.806560409,52.12159488,47.51717953
"Levy County, FL",4.361190718,79.62226083,16.10134859
"Liberty County, FL",3.258047767,80.62934205,16.84191443
"Madison County, FL",4.236628489,70.93978784,12.95499307
"Manatee County, FL",12.81361941,74.85710397,32.8319453
"Marion County, FL",8.191420451,76.46713464,21.98885464
"Martin County, FL",10.3871417,80.40884839,35.09720966
"Miami-Dade County, FL",54.04992194,51.86851829,32.53689605
"Monroe County, FL",19.70406124,62.2048389,36.33278854
"Nassau County, FL",3.908759204,82.64806253,32.00371468
"Okaloosa County, FL",7.920441843,67.23666211,33.27420294
"Okeechobee County, FL",12.36017055,74.40847242,16.8347912
"Orange County, FL",22.57995815,56.9673449,37.35094909
"Osceola County, FL",23.74328563,65.72272716,26.51586026
"Palm Beach County, FL",26.77011383,69.53513774,38.75833051
"Pasco County, FL",11.13383262,74.56454104,27.11352994
"Pinellas County, FL",11.9301857,69.04202371,35.07344557
"Polk County, FL",10.85382401,69.78553446,21.44138028
"Putnam County, FL",4.691321124,72.98703915,13.32421756
"St. Johns County, FL",8.85434232,82.36752371,47.3576469
"St. Lucie County, FL",17.2223185,77.09007221,25.0216521
"Santa Rosa County, FL",4.958887584,78.35855244,29.9009009
"Sarasota County, FL",12.05552218,76.01795882,38.28762424
"Seminole County, FL",15.42451959,65.67549745,41.72683838
"Sumter County, FL",6.257964682,87.15962989,33.69023149
"Suwannee County, FL",4.33444999,75.23458228,15.8794422
"Taylor County, FL",4.397553802,77.41460147,13.92165521
"Union County, FL",1.694150992,69.73619932,10.02973777
"Volusia County, FL",8.322530975,72.11150413,26.15384615
"Wakulla County, FL",2.66216056,81.18504861,19.74637681
"Walton County, FL",7.455167193,77.74284716,33.1472522
"Washington County, FL",3.350123931,78.35074217,12.40263302
"Appling County, GA",6.295754026,72.42380261,10.0219816
"Atkinson County, GA",13.72050817,66.89520078,11.3569861
"Bacon County, GA",3.402765308,71.98772064,10.90933916
"Baker County, GA",3.022932592,74.84047402,18.97810219
"Baldwin County, GA",2.56978391,62.91553649,23.45147043
"Banks County, GA",5.603612426,74.75626219,17.12143464
"Barrow County, GA",8.964561191,78.75681873,21.17503499
"Bartow County, GA",4.580020108,72.79398371,21.03249433
"Ben Hill County, GA",2.300658163,57.85854617,12.19787863
"Berrien County, GA",1.314125474,69.05359516,14.83149682
"Bibb County, GA",2.950419664,52.64794889,25.85740466
"Bleckley County, GA",3.24659631,74.89936064,18.56213961
"Brantley County, GA",2.452361226,75.6354339,10.32427277
"Brooks County, GA",2.648233487,68.28940742,14.67448372
"Bryan County, GA",5.169463274,76.02753196,33.90323496
"Bulloch County, GA",3.462400882,51.75474118,29.62831387
"Burke County, GA",2.600977935,72.57937844,14.65605749
"Butts County, GA",1.861139409,74.14829659,13.06170355
"Calhoun County, GA",4.147300679,65.46426186,11.37226971
"Camden County, GA",2.654931494,64.98894077,21.66042623
"Candler County, GA",7.04366892,60.90665367,12.23011752
"Carroll County, GA",4.838414126,68.23658015,21.23189164
"Catoosa County, GA",2.386410392,74.90979631,23.23585104
"Charlton County, GA",3.435084084,73.93024981,12.13063764
"Chatham County, GA",7.370403624,56.85065129,36.07201261
"Chattahoochee County, GA",4.360774303,31.21614968,30.01348921
"Chattooga County, GA",3.196530399,67.64959105,9.473927889
"Cherokee County, GA",9.753245931,77.45379961,39.49880538
"Clarke County, GA",9.542618575,41.21043948,47.94786051
"Clay County, GA",2.767075306,68.32895888,16.5717245
"Clayton County, GA",12.87494263,52.91547415,20.6080626
"Clinch County, GA",4.275286757,72.74633124,12.87962758
"Cobb County, GA",15.61007713,66.49597659,49.6963925
"Coffee County, GA",6.805091044,66.10715724,12.88708492
"Colquitt County, GA",11.02525484,64.78021646,14.70991932
"Columbia County, GA",7.289655304,78.91361675,37.4297411
"Cook County, GA",2.696902911,63.45650752,16.00679239
"Coweta County, GA",6.387293234,76.18177455,34.14648735
"Crawford County, GA",2.20467259,80.81717452,11.27272727
"Crisp County, GA",1.792150086,53.98063137,14.09120855
"Dade County, GA",2.05061888,76.37471189,18.3106074
"Dawson County, GA",4.19301773,80.19916852,35.46146381
"Decatur County, GA",3.110484121,60.64108791,14.98702647
"DeKalb County, GA",16.36475659,57.85305377,46.65823395
"Dodge County, GA",1.676928468,69.29479419,14.74568038
"Dooly County, GA",3.203987184,70.26670187,13.04195396
"Dougherty County, GA",2.191961241,46.56737464,23.29149233
"Douglas County, GA",10.00932739,65.876721,29.86102976
"Early County, GA",0.9764716823,67.57968127,13.99182959
"Echols County, GA",7.957917453,76.28361858,13.95860854
"Effingham County, GA",2.729889457,77.028922,25.18797873
"Elbert County, GA",4.726622381,70.32897244,14.06508153
"Emanuel County, GA",2.431571135,56.54368465,11.60872127
"Evans County, GA",5.892740961,62.18702095,16.35842294
"Fannin County, GA",3.058657022,77.76993026,23.20475375
"Fayette County, GA",10.75138983,81.66620034,47.24576531
"Floyd County, GA",7.220344831,63.10978998,22.3104043
"Forsyth County, GA",19.89969395,84.83617207,56.19504493
"Franklin County, GA",4.284497445,73.9313737,16.84527167
"Fulton County, GA",13.44571842,53.68654293,57.05409127
"Gilmer County, GA",5.568070053,76.08797016,23.4150501
"Glascock County, GA",0.1377884947,70.91254753,12.93407146
"Glynn County, GA",5.653572358,66.85593245,30.62076074
"Gordon County, GA",8.130137579,71.52517636,16.68201115
"Grady County, GA",5.300095877,65.48202614,15.81566299
"Greene County, GA",4.248159832,79.24379677,33.42281879
"Gwinnett County, GA",26.3711968,66.6296612,38.90998149
"Habersham County, GA",9.476319993,75.3171857,22.94228497
"Hall County, GA",16.88777427,69.99870293,25.49502388
"Hancock County, GA",1.350721938,75.15260323,9.625587388
"Haralson County, GA",1.491152495,72.54556661,17.86574208
"Harris County, GA",2.225468294,89.23303835,32.41966358
"Hart County, GA",2.642665645,75.26714591,18.25854477
"Heard County, GA",1.723387588,71.3507378,11.60805301
"Henry County, GA",7.788568131,72.23100496,27.49071604
"Houston County, GA",6.312569691,66.92791262,32.00397046
"Irwin County, GA",1.380836935,72.09758833,16.81727677
"Jackson County, GA",5.261381486,79.88344988,26.52390381
"Jasper County, GA",1.941943287,82.4954792,18.30065359
"Jeff Davis County, GA",3.51565141,67.53028891,11.50560873
"Jefferson County, GA",3.200564428,67.00995537,10.81516588
"Jenkins County, GA",2.228860294,82.77221717,9.051006508
"Johnson County, GA",1.008130081,72.9787234,9.497290789
"Jones County, GA",1.740539779,82.75210283,17.88564168
"Lamar County, GA",2.045405868,76.07690084,17.48696219
"Lanier County, GA",6.101967081,67.32505643,18.41985081
"Laurens County, GA",1.724452001,63.58277662,17.0772153
"Lee County, GA",4.313273477,74.81788921,32.63751763
"Liberty County, GA",6.608695652,48.12622416,20.22088034
"Lincoln County, GA",2.60160497,75.92039801,16.24231782
"Long County, GA",4.052606522,60.82567153,12.96296296
"Lowndes County, GA",3.227715907,54.41903019,26.08602611
"Lumpkin County, GA",3.861697351,76.83842795,32.02718334
"McDuffie County, GA",1.749942436,65.85484657,18.38150289
"McIntosh County, GA",1.099883752,82.01002925,17.80913978
"Macon County, GA",1.867922969,62.28356336,10.06143503
"Madison County, GA",2.82770426,72.18597813,19.58946255
